ticker,score_type,holding,n,rho,p,spread,verdict,class,class_mean_rho,n_bars,start,end,top_ret,top_dd,top_n,bottom_ret,bottom_dd,bottom_n
ADBE,TS,10,9997,-0.0316,0.001589,-0.7001,invers,neutral,-0.0289,10047,1986-08-14,2026-07-02,0.7971,-5.1152,4016.0,1.4972,-7.0753,2116.0
ADBE,TS,15,9992,-0.0349,0.000478,-0.9263,invers,neutral,-0.0289,10047,1986-08-14,2026-07-02,1.1097,-6.253,4016.0,2.036,-8.5378,2112.0
ADBE,TS,20,9987,-0.0288,0.004017,-0.9956,neutral,neutral,-0.0289,10047,1986-08-14,2026-07-02,1.46,-7.2509,4014.0,2.4556,-9.7873,2111.0
ADBE,GESAMT,1,9443,0.0059,0.567639,0.0046,neutral,neutral,-0.0203,10047,1986-08-14,2026-07-02,0.1233,-1.4099,2051.0,0.1187,-1.875,2270.0
ADBE,GESAMT,5,9439,-0.0111,0.282614,-0.2243,neutral,neutral,-0.0203,10047,1986-08-14,2026-07-02,0.3076,-3.5212,2051.0,0.5319,-4.7215,2267.0
ADBE,GESAMT,10,9434,-0.0212,0.039165,-0.3385,neutral,neutral,-0.0203,10047,1986-08-14,2026-07-02,0.7354,-4.9759,2051.0,1.0739,-6.7459,2262.0
ADBE,GESAMT,15,9429,-0.0254,0.013479,-0.4982,neutral,neutral,-0.0203,10047,1986-08-14,2026-07-02,1.1135,-6.0213,2051.0,1.6117,-8.0991,2259.0
ADBE,GESAMT,20,9424,-0.0236,0.022079,-0.6849,neutral,neutral,-0.0203,10047,1986-08-14,2026-07-02,1.4671,-6.9386,2051.0,2.152,-9.2135,2258.0
ADI,SC,1,10960,0.0068,0.47966,0.0188,neutral,neutral,0.0045,11667,1980-03-18,2026-07-02,0.0834,-1.4397,4816.0,0.0646,-1.5086,3543.0
ADI,SC,5,10956,0.0087,0.362891,0.0461,neutral,neutral,0.0045,11667,1980-03-18,2026-07-02,0.4091,-3.6453,4814.0,0.363,-3.8082,3542.0
ADI,SC,10,10951,0.0098,0.303547,0.1665,neutral,neutral,0.0045,11667,1980-03-18,2026-07-02,0.9302,-5.1396,4813.0,0.7637,-5.378,3540.0
ADI,SC,15,10946,0.0047,0.622227,0.1043,neutral,neutral,0.0045,11667,1980-03-18,2026-07-02,1.2333,-6.2321,4810.0,1.129,-6.62,3539.0
ADI,SC,20,10941,-0.0052,0.589581,-0.1702,neutral,neutral,0.0045,11667,1980-03-18,2026-07-02,1.5698,-7.1532,4809.0,1.74,-7.528,3537.0
